department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
gray,dev,gray-hippo-iafsod-dev-001,sodbuild2_osdisk_1_324e074c41944039bb39a1f128a0bef8,disks,northeurope,13,not attached to a vm,  25 ,,,"'sodbuild2_osdisk_1_324e074c41944039bb39a1f128a0bef8',",,,"'gray-hippo-iafsod-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,sod_build_restore_os,disks,northeurope,13,not attached to a vm,  14 ,,,"'sod_build_restore_os',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-tikshuv-prd-001,campus-pp-web-image_datadisk_0,disks,westeurope,13,not attached to a vm,  14 ,,,"'campus-pp-web-image_datadisk_0',",,,"'turkiz-starfish-tikshuv-prd-001',"
turkiz,prd,turkiz-starfish-digitalhub-prd-001,sasa-gs01-osdisk,disks,westeurope,13,not attached to a vm,  14 ,,,"'sasa-gs01-osdisk',",,,"'turkiz-starfish-digitalhub-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi04_osdisk_1_6ca2b7c950eb483098674d3facd5cd32,disks,westeurope,13,not attached to a vm,  14 ,,,"'nifi04_osdisk_1_6ca2b7c950eb483098674d3facd5cd32',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi02_osdisk_1_65e7acf28ff249efb94e199585a42c78,disks,westeurope,13,not attached to a vm,  14 ,,,"'nifi02_osdisk_1_65e7acf28ff249efb94e199585a42c78',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi03_osdisk_1_a980ab3d774143f2918dd40a6843fffc,disks,westeurope,13,not attached to a vm,  14 ,,,"'nifi03_osdisk_1_a980ab3d774143f2918dd40a6843fffc',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,nifi05_osdisk_1_d88f3788b9f241ccaa094baec4ada57e,disks,westeurope,13,not attached to a vm,  14 ,,,"'nifi05_osdisk_1_d88f3788b9f241ccaa094baec4ada57e',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,cloudadmin-sharedresources,tamirrhel_osdisk_1_dc5887b9d83d467a836f738c4efa7577,disks,westeurope,13,not attached to a vm,  14 ,,,"'tamirrhel_osdisk_1_dc5887b9d83d467a836f738c4efa7577',",,,"'cloudadmin-sharedresources',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzdevdata,disks,westeurope,13,not attached to a vm,  14 ,,,"'luzdevdata',",,,"'turkiz-starfish-soc60-prd-001',"
pink,prd,pink-flamingo-galatzarcive-prd-001,cloud-restore-instance-account-xiy5zrw6_disk2_8c907923ae7d40b987ad1a66075c2662,disks,westeurope,13,not attached to a vm,  14 ,,,"'cloud-restore-instance-account-xiy5zrw6_disk2_8c907923ae7d40b987ad1a66075c2662',",,,"'pink-flamingo-galatzarcive-prd-001',"
gray,prd,gray-hippo-talpi-prd-001,talpibotmachine_datadisk_0,disks,westeurope,13,not attached to a vm,  14 ,,,"'talpibotmachine_datadisk_0',",,,"'gray-hippo-talpi-prd-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadab2_osdisk_1_bb570b7c1f714a9a8ae463ef0011cbf0,disks,uksouth,13,not attached to a vm,  13 ,,,"'sadab2_osdisk_1_bb570b7c1f714a9a8ae463ef0011cbf0',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadab1_osdisk_1_a697b31a24f74dbd88039a024e740ce6,disks,uksouth,13,not attached to a vm,  13 ,,,"'sadab1_osdisk_1_a697b31a24f74dbd88039a024e740ce6',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,ocp4registry-rhel8_osdisk_1_30d0e091438c477fb00e03fcd2a0c45d,disks,eastus,13,not attached to a vm,  13 ,,,"'ocp4registry-rhel8_osdisk_1_30d0e091438c477fb00e03fcd2a0c45d',",,,"'turkiz-starfish-paasmamram-dev-001',"
gray,dev,gray-hippo-iafsod-dev-001,pvc-c2198096-bb2c-4f9d-a667-b44e1d76c23c,disks,northeurope,13,not attached to a vm,  13 ,,,"'pvc-c2198096-bb2c-4f9d-a667-b44e1d76c23c',",,,"'gray-hippo-iafsod-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,iaf_data_disk_vhd,disks,northeurope,13,not attached to a vm,  13 ,,,"'iaf_data_disk_vhd',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-tar-prd-001,aks-agentpool-28932843-5_osdisk_1_b0050b9307b04089875413c4da1fb5a0,disks,eastus,13,not attached to a vm,  13 ,,,"'aks-agentpool-28932843-5_osdisk_1_b0050b9307b04089875413c4da1fb5a0',",,,"'turkiz-starfish-tar-prd-001',"
turkiz,dev,turkiz-starfish-cloudlets-dev-001,captain-resh_disk1_3ccd5b4546ea4c819f51a9f0b0bb382d,disks,centralus,13,not attached to a vm,  13 ,,,"'captain-resh_disk1_3ccd5b4546ea4c819f51a9f0b0bb382d',",,,"'turkiz-starfish-cloudlets-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,iaf_os_disk_vhd,disks,northeurope,13,not attached to a vm,  13 ,,,"'iaf_os_disk_vhd',",,,"'turkiz-starfish-soc60-prd-001',"
